output_path,duration_seconds
testset\TC-1\Cantonese-HK-Numbers\4FEN95kaPIo_noisy_0_4FEN95kaPIo.whisper.auto.gt_audio_111.google.txt,1.3429999999934807
testset\TC-1\Cantonese-HK-Numbers\4FEN95kaPIo_noisy_0_4FEN95kaPIo.whisper.auto.gt_audio_62.google.txt,1.437999999965541
testset\TC-1\Cantonese-HK-Numbers\FmpXfFwzvP8_noisy_0_FmpXfFwzvP8.whisper.auto.gt_audio_13.google.txt,2.8589999999967404
testset\TC-1\Cantonese-HK-Numbers\JNAeatPbndE_noisy_0_JNAeatPbndE.whisper.auto.gt_audio_8.google.txt,1.4530000000377186
testset\TC-1\Cantonese-HK-Numbers\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_113.google.txt,1.1880000000237487
testset\TC-1\Cantonese-HK-Numbers\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_161.google.txt,2.0320000000065193
testset\TC-1\Cantonese-HK-Numbers\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_197.google.txt,1.1880000000237487
testset\TC-1\Cantonese-HK-Numbers\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_74.google.txt,1.8589999999967404
testset\TC-1\Cantonese-HK-Numbers\YBLuZ09hr6o_noisy_0_YBLuZ09hr6o.whisper.auto.gt_audio_14.google.txt,3.2660000000032596
testset\TC-1\Cantonese-HK-Numbers\Zv35Vwq-JzY_noisy_0_Zv35Vwq-JzY.whisper.auto.gt_audio_32.google.txt,1.297000000020489
testset\TC-1\Cantonese-HK-Numbers\Zv35Vwq-JzY_noisy_0_Zv35Vwq-JzY.whisper.auto.gt_audio_33.google.txt,2.062999999965541
testset\TC-1\Cantonese-HK-Numbers\Zv35Vwq-JzY_noisy_0_Zv35Vwq-JzY.whisper.auto.gt_audio_56.google.txt,1.3439999999827705
testset\TC-1\Cantonese-HK-Numbers\Zv35Vwq-JzY_noisy_0_Zv35Vwq-JzY.whisper.auto.gt_audio_66.google.txt,1.577999999979511
testset\TC-1\Cantonese-HK-Numbers\Zv35Vwq-JzY_noisy_0_Zv35Vwq-JzY.whisper.auto.gt_audio_78.google.txt,2.2660000000032596
testset\TC-1\Cantonese-HK-Numbers\fu9hXxHBVg0_noisy_0_fu9hXxHBVg0.whisper.auto.gt_audio_77.google.txt,2.3910000000032596
testset\TC-1\Cantonese-HK-Numbers\nIn0fZt_paA_noisy_0_nIn0fZt_paA.whisper.auto.gt_audio_93.google.txt,1.7820000000065193
testset\TC-1\Cantonese-HK\4FEN95kaPIo_noisy_0_4FEN95kaPIo.whisper.auto.gt_audio_17.google.txt,1.797000000020489
testset\TC-1\Cantonese-HK\4FEN95kaPIo_noisy_0_4FEN95kaPIo.whisper.auto.gt_audio_81.google.txt,1.4849999999860302
testset\TC-1\Cantonese-HK\4FEN95kaPIo_noisy_0_4FEN95kaPIo.whisper.auto.gt_audio_85.google.txt,1.2339999999967404
testset\TC-1\Cantonese-HK\FmpXfFwzvP8_noisy_0_FmpXfFwzvP8.whisper.auto.gt_audio_11.google.txt,1.922000000020489
testset\TC-1\Cantonese-HK\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_111.google.txt,2.5
testset\TC-1\Cantonese-HK\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_140.google.txt,1.2339999999967404
testset\TC-1\Cantonese-HK\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_169.google.txt,1.7339999999967404
