output_path,duration_seconds
testset\TC-1\Cantonese-HK-Numbers\4FEN95kaPIo_noisy_0_4FEN95kaPIo.whisper.auto.gt_audio_0.fano.txt,130.8279999999795
testset\TC-1\Cantonese-HK-Numbers\JNAeatPbndE_noisy_0_JNAeatPbndE.whisper.auto.gt_audio_0.fano.txt,22.594000000040978
testset\TC-1\Cantonese-HK-Numbers\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_0.fano.txt,391.64000000001397
testset\TC-1\Cantonese-HK-Numbers\nIn0fZt_paA_noisy_0_nIn0fZt_paA.whisper.auto.gt_audio_0.fano.txt,119.875
testset\TC-1\English-US-Numbers\3BBtS1ir4tA_noisy_0_3BBtS1ir4tA.whisper.auto.gt_audio_0.fano.txt,72.85999999998603
testset\TC-1\English-US-Numbers\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_0.fano.txt,211.0470000000205
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_0.fano.txt,287.21899999992456
testset\TC-1\Mandarin-Numbers\0Ejp6yyU5bo_noisy_0_0Ejp6yyU5bo.whisper.auto.gt_audio_0.fano.txt,312.6720000000205
testset\TC-1\Mandarin-Numbers\9I3vvmX4O4o_noisy_0_9I3vvmX4O4o.whisper.auto.gt_audio_0.fano.txt,147.71799999999348
testset\TC-1\Mandarin\XwOemRiuO5A_noisy_0_XwOemRiuO5A.whisper.auto.gt_audio_0.fano.txt,16.54700000002049
testset\TC-2\Cantonese_Mandarin_Accent\JNAeatPbndE_noisy_0_JNAeatPbndE.whisper.auto.gt_audio_0.fano.txt,276.39099999994505
testset\TC-2\English_Indian_Accent\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_0.fano.txt,337.7969999999041
testset\TC-2\English_SouthEastAsian_Accent\1AnPurpl81c_noisy_0_1AnPurpl81c.whisper.auto.gt_audio_0.fano.txt,264.06199999991804
testset\TC-2\English_SouthEastAsian_Accent\3BBtS1ir4tA_noisy_0_3BBtS1ir4tA.whisper.auto.gt_audio_0.fano.txt,272.01599999994505
testset\TC-2\Mandarin_Cantonese_Accent\XwOemRiuO5A_noisy_0_XwOemRiuO5A.whisper.auto.gt_audio_0.fano.txt,197.46900000004098
testset\TC-3\Cantonese\JNAeatPbndE_noisy_0_JNAeatPbndE.whisper.auto.gt_audio_0.fano.txt,134.68700000003446
testset\TC-3\Cantonese\SbduiuP_gek_noisy_0_SbduiuP_gek.whisper.auto.gt_audio_0.fano.txt,224.7970000000205
testset\TC-3\Cantonese\YBLuZ09hr6o_noisy_0_YBLuZ09hr6o.whisper.auto.gt_audio_0.fano.txt,228.81299999996554
testset\TC-3\Cantonese\Zv35Vwq-JzY_noisy_0_Zv35Vwq-JzY.whisper.auto.gt_audio_0.fano.txt,265.905999999959
testset\TC-3\Cantonese\fu9hXxHBVg0_noisy_0_fu9hXxHBVg0.whisper.auto.gt_audio_0.fano.txt,226.03099999995902
testset\TC-3\English\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_0.fano.txt,263.9529999999795
testset\TC-3\English\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_0.fano.txt,317.65600000007544
testset\TC-3\Mandarin\0Ejp6yyU5bo_noisy_0_0Ejp6yyU5bo.whisper.auto.gt_audio_0.fano.txt,383.60899999993853
testset\TC-3\Mandarin\9I3vvmX4O4o_noisy_0_9I3vvmX4O4o.whisper.auto.gt_audio_0.fano.txt,259.81299999996554
